Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1629, 60.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"(1747, 219.3)","(1617, 118.57)","(1820, 106.86)","(1834, 87.95)",0.0,0.0,"(1364, 239.82)","(20, 117.88)","(372, 104.62)","(297, 82.06)",0.0,0.0,"(1852, 147.8)","(258, 138.43)","(1480, 115.65)","(1245, 98.05)",0.0,0.0,"(207, 145.85)","(824, 145.81)","(249, 109.37)","(3269, 98.06)","(504, 75.49)",0.0,"(877, 358.55)","(2804, 102.77)","(1585, 84.68)",0.0,0.0,0.0,"(2386, 568.69)","(3134, 24.28)","(1066, 6.58)",0.0,0.0,0.0,0.0,"(2581, 211.37)","(2590, 198.33)","(2533, 85.77)","(1083, 108.88)",0.0,0.0,0.0,"(3623, 266.65)","(3029, 187.76)","(3691, 75.33)","(3159, 86.47)",0.0,0.0,0.0,"(3761, 407.87)","(3556, 115.17)","(361, 86.47)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"(2461, 159.36)","(1598, 124.98)","(397, 116.53)","(3597, 98.23)","(1643, 67.63)",0.0,"(3464, 149.52)","(1735, 137.6)","(1256, 115.46)","(1405, 97.06)","(17, 4.0)",0.0,"(1786, 152.41)","(1170, 125.15)","(189, 117.88)","(2442, 99.44)","(394, 77.54)",0.0,"(1330, 145.96)","(1442, 144.52)","(2458, 113.84)","(655, 89.67)","(28, 81.3)",0.0,"(221, 146.38)","(1214, 142.76)","(865, 113.9)","(2462, 96.74)",0.0,0.0,"(957, 407.87)","(3497, 175.84)",0.0,0.0,0.0,0.0,0.0,"(3646, 407.87)","(2594, 156.3)",0.0,0.0,0.0,0.0,0.0,"(3616, 345.69)","(2625, 179.02)","(3158, 25.18)",0.0,0.0,0.0,0.0,"(2477, 218.62)","(3150, 193.13)","(1002, 75.33)","(3806, 75.33)",0.0,0.0,0.0,"(3131, 634.8)","(2443, 219.89)",0.0,0.0,0.0,0.0,0.0
14,"(742, 175.54)","(888, 138.63)","(2752, 101.24)","(2440, 84.82)",0.0,0.0,"(2025, 158.87)","(512, 155.37)","(2739, 100.94)","(2402, 85.19)",0.0,0.0,"(860, 215.65)","(2053, 113.25)","(2424, 94.97)","(445, 77.12)",0.0,0.0,"(1126, 186.02)","(870, 119.39)","(926, 110.08)","(1102, 83.35)",0.0,0.0,"(789, 164.74)","(3510, 150.68)","(729, 95.0)","(3, 87.0)",0.0,0.0,"(3818, 381.68)","(2998, 157.1)","(3564, 26.08)",0.0,0.0,0.0,0.0,"(1014, 381.68)","(3820, 171.98)","(133, 16.33)",0.0,0.0,0.0,0.0,"(2718, 280.82)","(2285, 273.03)",0.0,0.0,0.0,0.0,0.0,"(2390, 324.33)","(1016, 171.98)","(2190, 121.53)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"(737, 201.56)","(338, 113.31)","(1133, 100.94)","(1124, 82.06)",0.0,0.0,"(910, 290.99)","(312, 111.6)","(758, 89.79)",0.0,0.0,0.0,"(688, 170.95)","(2404, 142.01)","(521, 102.09)","(897, 85.49)",0.0,0.0,"(809, 177.63)","(2827, 129.13)","(2806, 104.86)","(278, 86.92)",0.0,0.0,"(2120, 229.24)","(2838, 112.79)","(2808, 90.44)","(341, 175.66)",0.0,0.0,"(2302, 333.42)","(3705, 171.98)","(2971, 101.1)",0.0,0.0,0.0,0.0,"(2188, 296.04)","(2327, 223.81)","(3002, 72.83)",0.0,0.0,0.0,0.0,"(3531, 383.93)","(2476, 155.3)","(2653, 25.02)",0.0,0.0,0.0,0.0,"(3703, 381.68)","(2205, 158.98)","(2306, 22.58)","(2355, 10.58)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"(2435, 175.29)","(780, 172.54)","(2427, 115.21)","(3192, 94.93)",0.0,0.0,"(2764, 221.51)","(703, 146.32)","(1636, 104.35)","(629, 67.63)",0.0,0.0,"(2001, 223.98)","(2406, 137.21)","(1500, 108.25)","(1734, 87.37)",0.0,0.0,"(805, 330.9)","(1553, 123.97)","(3241, 95.92)",0.0,0.0,0.0,"(2045, 370.88)","(589, 103.89)","(1656, 65.56)",0.0,0.0,0.0,"(3641, 201.0)","(2876, 190.55)","(2941, 89.67)","(1533, 120.23)",0.0,0.0,0.0,"(2226, 323.04)","(2566, 158.73)","(2904, 86.47)","(3415, 28.87)","(2913, 16.77)",0.0,0.0,"(2654, 207.47)","(2294, 181.8)","(2883, 93.33)","(176, 40.18)","(3149, 36.12)","(2926, 30.0)","(2912, 25.43)","(952, 201.0)","(3756, 201.0)","(2964, 79.07)","(582, 143.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"(1299, 271.04)","(1661, 71.67)",0.0,0.0,0.0,0.0,"(14, 129.8)","(1400, 116.86)","(3238, 82.86)",0.0,0.0,0.0,"(198, 133.85)","(1382, 112.31)","(457, 82.94)","(1571, 239.82)",0.0,0.0,"(1600, 138.7)","(1512, 105.67)","(43, 96.05)",0.0,0.0,0.0,"(3257, 173.09)","(1337, 96.4)","(505, 71.73)",0.0,0.0,0.0,"(3619, 381.73)","(2647, 100.57)",0.0,0.0,0.0,0.0,0.0,"(3500, 300.96)","(3483, 104.57)","(2567, 57.35)",0.0,0.0,0.0,0.0,"(2309, 280.2)","(3070, 132.43)","(2678, 37.1)","(1059, 6.17)",0.0,0.0,0.0,"(2645, 206.26)","(3027, 201.48)","(3570, 53.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"(231, 131.8)","(220, 114.13)","(1724, 94.0)",0.0,0.0,0.0,"(54, 125.92)","(3598, 121.88)","(3388, 78.03)","(1633, 129.57)",0.0,0.0,"(1188, 153.76)","(1499, 100.91)","(2859, 76.41)",0.0,0.0,0.0,"(3300, 138.23)","(29, 110.35)","(1669, 76.8)","(1179, 20.0)",0.0,0.0,"(1232, 136.16)","(226, 110.76)","(3226, 80.6)",0.0,0.0,0.0,"(2253, 385.59)","(119, 90.2)",0.0,0.0,0.0,0.0,0.0,"(3073, 220.39)","(2609, 168.24)","(3518, 86.1)","(3561, 13.87)",0.0,0.0,0.0,"(3512, 432.49)","(3148, 40.12)","(3157, 35.93)",0.0,0.0,0.0,0.0,"(2544, 235.27)","(3539, 145.07)","(76, 104.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"(1205, 167.15)","(390, 102.37)","(922, 83.65)",0.0,0.0,0.0,"(3319, 226.59)","(706, 96.05)","(773, 81.45)",0.0,0.0,0.0,"(2805, 117.64)","(1146, 114.52)","(801, 96.05)","(2725, 66.27)",0.0,0.0,"(3398, 145.55)","(1147, 107.17)","(1740, 95.35)",0.0,0.0,0.0,"(1262, 154.63)","(4, 107.16)","(546, 91.22)",0.0,0.0,0.0,"(2624, 225.59)","(2494, 121.37)","(3163, 7.25)",0.0,0.0,0.0,0.0,"(3544, 370.31)",0.0,0.0,0.0,0.0,0.0,0.0,"(2393, 332.74)","(3004, 84.2)",0.0,0.0,0.0,0.0,0.0,"(2263, 280.43)","(2608, 84.33)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"(3318, 526.07)",0.0,0.0,0.0,0.0,0.0,"(330, 170.82)","(2740, 96.86)","(2812, 91.14)",0.0,0.0,0.0,"(916, 164.96)","(413, 103.48)","(373, 87.11)",0.0,0.0,0.0,"(890, 142.6)","(791, 112.34)","(284, 94.36)",0.0,0.0,0.0,"(1428, 117.56)","(13, 116.84)","(1440, 95.42)","(864, 102.34)",0.0,0.0,"(3001, 206.83)","(3481, 189.52)",0.0,0.0,0.0,0.0,0.0,"(2222, 222.96)","(2325, 172.76)",0.0,0.0,0.0,0.0,0.0,"(2249, 265.58)","(2216, 106.3)","(3475, 25.08)",0.0,0.0,0.0,0.0,"(2332, 344.94)","(2176, 69.33)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
