Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,219.3,118.57,106.86,87.95,0.0,0.0,239.82,117.88,104.62,82.06,0.0,0.0,147.8,138.43,115.65,98.05,0.0,0.0,145.85,145.81,109.37,98.06,75.49,0.0,358.55,102.77,84.68,0.0,0.0,0.0,568.69,24.28,6.58,0.0,0.0,0.0,0.0,211.37,198.33,85.77,108.88,0.0,0.0,0.0,266.65,187.76,75.33,86.47,0.0,0.0,0.0,407.87,115.17,86.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,159.36,124.98,116.53,98.23,67.63,0.0,149.52,137.6,115.46,97.06,4.0,0.0,152.41,125.15,117.88,99.44,77.54,0.0,145.96,144.52,113.84,89.67,81.3,0.0,146.38,142.76,113.9,96.74,0.0,0.0,407.87,175.84,0.0,0.0,0.0,0.0,0.0,407.87,156.3,0.0,0.0,0.0,0.0,0.0,345.69,179.02,25.18,0.0,0.0,0.0,0.0,218.62,193.13,75.33,75.33,0.0,0.0,0.0,634.8,219.89,0.0,0.0,0.0,0.0,0.0
14,175.54,138.63,101.24,84.82,0.0,0.0,158.87,155.37,100.94,85.19,0.0,0.0,215.65,113.25,94.97,77.12,0.0,0.0,186.02,119.39,110.08,83.35,0.0,0.0,164.74,150.68,95.0,87.0,0.0,0.0,381.68,157.1,26.08,0.0,0.0,0.0,0.0,381.68,171.98,16.33,0.0,0.0,0.0,0.0,280.82,273.03,0.0,0.0,0.0,0.0,0.0,324.33,171.98,121.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,201.56,113.31,100.94,82.06,0.0,0.0,290.99,111.6,89.79,0.0,0.0,0.0,170.95,142.01,102.09,85.49,0.0,0.0,177.63,129.13,104.86,86.92,0.0,0.0,229.24,112.79,90.44,175.66,0.0,0.0,333.42,171.98,101.1,0.0,0.0,0.0,0.0,296.04,223.81,72.83,0.0,0.0,0.0,0.0,383.93,155.3,25.02,0.0,0.0,0.0,0.0,381.68,158.98,22.58,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,175.29,172.54,115.21,94.93,0.0,0.0,221.51,146.32,104.35,67.63,0.0,0.0,223.98,137.21,108.25,87.37,0.0,0.0,330.9,123.97,95.92,0.0,0.0,0.0,370.88,103.89,65.56,0.0,0.0,0.0,201.0,190.55,89.67,120.23,0.0,0.0,0.0,323.04,158.73,86.47,28.87,16.77,0.0,0.0,207.47,181.8,93.33,40.18,36.12,30.0,25.43,201.0,201.0,79.07,143.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,271.04,71.67,0.0,0.0,0.0,0.0,129.8,116.86,82.86,0.0,0.0,0.0,133.85,112.31,82.94,239.82,0.0,0.0,138.7,105.67,96.05,0.0,0.0,0.0,173.09,96.4,71.73,0.0,0.0,0.0,381.73,100.57,0.0,0.0,0.0,0.0,0.0,300.96,104.57,57.35,0.0,0.0,0.0,0.0,280.2,132.43,37.1,6.17,0.0,0.0,0.0,206.26,201.48,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,131.8,114.13,94.0,0.0,0.0,0.0,125.92,121.88,78.03,129.57,0.0,0.0,153.76,100.91,76.41,0.0,0.0,0.0,138.23,110.35,76.8,20.0,0.0,0.0,136.16,110.76,80.6,0.0,0.0,0.0,385.59,90.2,0.0,0.0,0.0,0.0,0.0,220.39,168.24,86.1,13.87,0.0,0.0,0.0,432.49,40.12,35.93,0.0,0.0,0.0,0.0,235.27,145.07,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,167.15,102.37,83.65,0.0,0.0,0.0,226.59,96.05,81.45,0.0,0.0,0.0,117.64,114.52,96.05,66.27,0.0,0.0,145.55,107.17,95.35,0.0,0.0,0.0,154.63,107.16,91.22,0.0,0.0,0.0,225.59,121.37,7.25,0.0,0.0,0.0,0.0,370.31,0.0,0.0,0.0,0.0,0.0,0.0,332.74,84.2,0.0,0.0,0.0,0.0,0.0,280.43,84.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,526.07,0.0,0.0,0.0,0.0,0.0,170.82,96.86,91.14,0.0,0.0,0.0,164.96,103.48,87.11,0.0,0.0,0.0,142.6,112.34,94.36,0.0,0.0,0.0,117.56,116.84,95.42,102.34,0.0,0.0,206.83,189.52,0.0,0.0,0.0,0.0,0.0,222.96,172.76,0.0,0.0,0.0,0.0,0.0,265.58,106.3,25.08,0.0,0.0,0.0,0.0,344.94,69.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
