Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 1 Proc 7,Cath Room 1 Proc 8,Cath Room 1 Proc 9,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 2 Proc 7,Cath Room 2 Proc 8,Cath Room 2 Proc 9,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 3 Proc 7,Cath Room 3 Proc 8,Cath Room 3 Proc 9,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 4 Proc 7,Cath Room 4 Proc 8,Cath Room 4 Proc 9,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,Cath Room 5 Proc 7,Cath Room 5 Proc 8,Cath Room 5 Proc 9,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6
86,"(1491, 68.52)","(1448, 72.0)","(2721, 72.58)","(534, 77.27)","(2693, 78.0)","(1405, 80.76)","(605, 82.95)","(486, 85.08)",0.0,"(504, 95.68)","(638, 97.52)","(1415, 97.93)","(34, 98.75)","(591, 104.83)","(2224, 105.18)",0.0,0.0,0.0,"(2177, 105.83)","(1363, 107.21)","(547, 114.09)","(2223, 120.11)","(1526, 136.89)",0.0,0.0,0.0,0.0,"(1404, 149.72)","(521, 151.74)","(2206, 158.11)","(1867, 160.23)",0.0,0.0,0.0,0.0,0.0,"(2214, 199.49)","(1885, 252.09)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(916, 205.71)","(3139, 205.71)","(3250, 205.71)",0.0,0.0,0.0,0.0,"(2534, 155.17)","(936, 171.21)","(3159, 171.21)",0.0,0.0,0.0,0.0,"(3270, 171.21)","(74, 198.83)",0.0,0.0,0.0,0.0,0.0,"(1969, 302.99)",0.0,0.0,0.0,0.0,0.0
87,"(1480, 91.41)","(1233, 98.61)","(1381, 105.13)","(1212, 113.32)","(1630, 117.4)",0.0,0.0,0.0,0.0,"(1283, 138.0)","(1723, 142.43)","(758, 145.26)","(1968, 167.49)",0.0,0.0,0.0,0.0,0.0,"(2791, 177.26)","(199, 186.06)","(140, 201.05)",0.0,0.0,0.0,0.0,0.0,0.0,"(823, 272.15)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(868, 131.5)","(3091, 131.5)","(3202, 131.5)","(2608, 164.0)",0.0,0.0,0.0,"(955, 164.28)","(3178, 164.28)","(3289, 164.28)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"(1279, 71.7)","(1482, 87.41)","(2855, 91.04)","(1468, 94.9)","(398, 97.38)","(2884, 110.28)",0.0,0.0,0.0,"(1949, 115.22)","(2804, 131.88)","(47, 132.23)","(1818, 140.34)",0.0,0.0,0.0,0.0,0.0,"(1856, 141.08)","(415, 142.43)","(1138, 142.85)","(1151, 150.96)",0.0,0.0,0.0,0.0,0.0,"(21, 153.24)","(1058, 228.07)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2631, 214.53)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"(973, 73.06)","(601, 85.08)","(1281, 91.55)","(2419, 95.78)","(1223, 97.85)","(800, 101.8)",0.0,0.0,0.0,"(1003, 105.79)","(992, 111.3)","(1336, 112.73)","(961, 116.96)","(719, 124.97)",0.0,0.0,0.0,0.0,"(1822, 128.22)","(773, 137.18)","(971, 140.6)","(2482, 144.11)",0.0,0.0,0.0,0.0,0.0,"(2374, 149.89)","(676, 198.09)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2633, 168.9)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"(1547, 62.0)","(829, 74.96)","(2709, 81.53)","(395, 86.34)","(282, 99.04)","(1784, 105.24)","(1132, 108.46)",0.0,0.0,"(1771, 132.59)","(1136, 171.7)","(789, 196.03)","(1629, 133.97)",0.0,0.0,0.0,0.0,0.0,"(421, 634.8)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(281, 140.96)","(467, 142.03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2637, 149.03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"(546, 8.0)","(1872, 85.89)","(522, 87.15)","(536, 101.8)","(505, 105.64)","(1564, 108.21)","(2720, 112.02)",0.0,0.0,"(645, 114.09)","(668, 121.39)","(1951, 121.81)","(2174, 123.98)","(2198, 125.02)",0.0,0.0,0.0,0.0,"(646, 131.78)","(1891, 133.23)","(2204, 136.49)","(1370, 149.81)",0.0,0.0,0.0,0.0,0.0,"(1410, 157.63)","(1427, 163.15)","(1851, 177.05)","(1807, 127.39)",0.0,0.0,0.0,0.0,0.0,"(2423, 214.97)","(2530, 180.6)","(2346, 191.54)",0.0,0.0,0.0,0.0,0.0,0.0,"(926, 211.02)","(3149, 211.02)","(3260, 211.02)",0.0,0.0,0.0,0.0,"(2152, 329.26)","(2554, 106.07)","(2286, 148.6)",0.0,0.0,0.0,0.0,"(2110, 382.67)","(2562, 161.4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"(1271, 74.11)","(2890, 80.68)","(1400, 80.82)","(1391, 87.84)","(1591, 95.33)","(1434, 112.35)","(1780, 74.0)",0.0,0.0,"(1628, 122.95)","(1510, 130.78)","(2748, 162.84)","(1149, 165.87)",0.0,0.0,0.0,0.0,0.0,"(1275, 140.3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(2226, 196.5)","(2089, 250.24)","(2952, 175.31)",0.0,0.0,0.0,0.0,"(3056, 438.05)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"(3045, 74.68)","(2723, 78.49)","(322, 84.52)","(1364, 84.99)","(2769, 87.45)","(2790, 105.3)","(1375, 106.5)",0.0,0.0,"(57, 110.27)","(381, 110.6)","(1813, 113.67)","(306, 113.91)","(1637, 118.55)",0.0,0.0,0.0,0.0,"(1643, 140.88)","(452, 147.54)","(1931, 167.94)","(1037, 167.96)",0.0,0.0,0.0,0.0,0.0,"(1722, 185.73)","(2834, 292.67)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1906, 327.38)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1984, 0.03)","(924, 269.37)","(3147, 269.37)",0.0,0.0,0.0,0.0,"(3258, 269.37)","(2360, 128.52)","(2311, 158.2)",0.0,0.0,0.0,0.0,"(2624, 186.4)","(2636, 190.53)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"(12, 69.68)","(9, 86.0)","(33, 90.0)","(1282, 94.34)","(13, 98.56)","(5, 98.78)",0.0,0.0,0.0,"(2499, 100.27)","(1299, 104.81)","(790, 110.39)","(673, 112.36)","(675, 116.75)",0.0,0.0,0.0,0.0,"(1328, 119.83)","(622, 123.28)","(2454, 137.49)","(1261, 144.23)",0.0,0.0,0.0,0.0,0.0,"(781, 144.39)","(2451, 152.5)","(1258, 155.2)","(2492, 175.59)",0.0,0.0,0.0,0.0,0.0,"(809, 178.27)","(2478, 186.08)","(1298, 192.25)",0.0,0.0,0.0,0.0,0.0,0.0,"(2357, 193.17)","(2649, 203.54)","(2299, 183.86)",0.0,0.0,0.0,0.0,"(2227, 267.73)","(2092, 279.06)",0.0,0.0,0.0,0.0,0.0,"(3016, 372.14)",0.0,0.0,0.0,0.0,0.0,0.0,"(739, 237.91)",0.0,0.0,0.0,0.0,0.0
95,"(2702, 46.0)","(317, 81.28)","(2830, 85.92)","(321, 93.59)","(760, 93.67)","(263, 95.51)","(294, 97.33)",0.0,0.0,"(1798, 101.93)","(242, 105.98)","(433, 106.35)","(1678, 106.61)","(2876, 112.9)",0.0,0.0,0.0,0.0,"(1787, 118.16)","(2852, 118.35)","(249, 128.5)","(2831, 129.26)","(246, 132.53)",0.0,0.0,0.0,0.0,"(763, 134.44)","(223, 145.03)","(406, 150.37)","(2820, 161.93)",0.0,0.0,0.0,0.0,0.0,"(1706, 177.13)","(2123, 134.27)","(2579, 144.03)","(1080, 101.51)",0.0,0.0,0.0,0.0,0.0,"(855, 186.44)","(3078, 186.44)","(3189, 186.44)",0.0,0.0,0.0,0.0,"(2586, 199.59)","(918, 308.49)",0.0,0.0,0.0,0.0,0.0,"(3141, 308.49)","(3252, 308.49)",0.0,0.0,0.0,0.0,0.0,"(2013, 181.42)","(2022, 211.89)",0.0,0.0,0.0,0.0
