Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,3,3,3,3,3,20,22,20,3,3,22,3,19,3,38,3,2,40,5,21,4,5,38,2,58,3,2,3,19,19,1,18,35,0,0,16,0,51,0,18,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,2,2,1,4,24,4,21,5,3,3,35,19,19,3,4,22,24,7,22,4,19,19,38,17,22,22,2,2,4,36,2,2,34,16,0,17,34,16,16,18,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,1,1,1,2,2,1,2,23,2,2,17,3,2,2,37,2,1,1,2,36,4,21,3,2,18,0,54,20,3,4,4,2,1,1,35,16,1,18,1,0,0,16,17,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,1,1,2,2,2,2,2,17,1,19,4,4,4,22,3,1,20,37,19,2,19,1,3,3,22,4,38,2,1,19,19,20,38,3,2,0,0,15,35,0,0,0,16,0,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,1,2,2,2,1,3,21,3,20,4,3,2,21,34,3,2,4,21,21,3,19,17,2,34,19,21,1,1,19,19,3,21,3,2,1,17,0,18,17,0,18,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,2,2,2,3,3,3,4,37,4,4,19,1,20,17,36,3,3,3,19,2,2,37,19,3,3,2,18,0,19,18,16,1,1,16,0,0,18,0,0,18,39,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,3,4,3,3,22,23,5,23,21,2,19,36,19,2,21,4,23,6,24,5,20,23,22,20,19,39,19,1,2,37,18,1,1,19,0,16,36,0,16,17,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,1,1,1,1,2,1,2,19,3,2,2,18,2,17,1,38,2,3,3,19,3,2,1,22,20,20,1,1,0,18,1,36,2,2,1,2,1,18,1,19,0,17,0,18,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,1,1,2,2,1,2,19,1,1,18,1,2,2,19,4,4,3,3,21,20,1,51,20,1,1,1,36,2,2,2,19,0,0,0,33,0,17,0,17,0,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,1,2,2,1,1,20,19,3,21,5,4,2,3,52,1,20,2,18,4,4,19,3,22,19,2,3,54,5,3,3,2,34,0,16,18,19,16,0,0,17,18,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,2,2,20,1,15,20,5,5,7,7,21,3,36,32,19,3,40,4,3,21,5,23,21,5,39,3,1,33,16,34,0,0,18,0,0,34,0,17,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,1,2,3,4,4,5,21,4,24,24,5,40,22,2,3,37,21,22,23,6,7,4,37,39,21,20,3,40,25,6,24,8,23,23,4,36,33,16,54,0,35,0,0,49,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,1,1,1,1,0,1,16,1,1,3,2,2,20,3,2,3,21,19,4,3,19,20,4,19,3,19,19,2,1,37,3,21,4,4,3,36,1,17,19,15,17,0,0,17,17,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,1,2,2,2,2,2,1,21,21,3,3,3,20,2,3,35,3,20,3,3,19,3,19,21,2,2,18,17,1,19,20,20,1,1,1,18,0,0,35,0,0,15,0,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
