Day,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,3,8,13,7,11,0,10,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,5,9,18,11,6,5,23,14,4,8,13,7,9,8,8,0,15,5,10,5,15,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,4,12,12,4,6,9,8,17,12,4,9,9,2,21,6,0,5,10,5,5,5,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,3,12,7,3,2,8,8,8,2,16,7,1,7,1,11,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,3,12,3,8,3,13,12,1,5,6,2,2,1,5,5,0,5,0,10,0,5,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,3,3,12,12,3,4,8,13,8,19,4,7,11,6,6,1,5,10,5,0,5,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,4,13,14,4,9,3,19,14,9,8,7,7,13,3,1,10,5,0,10,10,10,5,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,4,4,18,10,5,8,12,13,4,9,8,8,6,12,7,12,1,10,5,5,0,10,5,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,10,5,14,14,9,3,10,18,4,5,3,20,10,11,8,17,5,10,0,5,20,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,3,12,7,3,4,13,8,11,7,1,7,1,8,2,8,1,11,0,15,5,5,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,4,10,14,19,13,2,8,8,9,5,15,10,8,17,6,5,5,0,10,5,15,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,3,12,5,9,9,11,7,7,4,4,10,8,13,8,13,2,5,10,10,10,10,5,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,4,10,18,4,8,7,7,15,11,11,2,27,1,6,0,5,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,4,14,10,10,9,17,8,8,8,8,8,8,4,13,13,5,15,0,0,10,15,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,3,7,2,6,7,2,2,11,1,6,6,6,1,11,1,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,3,11,14,5,17,7,2,12,9,9,5,10,15,9,17,6,10,5,5,10,15,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,5,5,24,10,5,4,30,5,3,11,18,3,3,7,12,1,5,10,5,15,10,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,5,10,13,11,4,10,5,7,25,5,5,8,24,3,6,10,5,15,5,10,5,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,6,7,26,15,5,9,20,10,10,14,15,9,14,7,11,5,10,0,5,15,5,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,2,12,2,2,7,12,8,6,7,1,6,2,7,2,0,10,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,6,10,15,23,4,2,14,9,10,3,19,9,9,7,12,6,6,0,20,15,0,5,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,6,11,24,9,5,9,21,4,14,7,18,3,7,6,5,15,0,5,10,5,5,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,5,12,11,20,14,9,4,15,16,4,12,18,9,3,6,10,10,10,10,5,5,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,4,9,8,12,2,7,1,12,2,8,7,12,2,7,7,1,5,10,5,5,5,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,2,12,3,7,2,12,2,1,6,7,2,7,6,6,0,5,5,0,5,10,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,6,15,9,9,18,3,3,26,7,10,19,13,8,6,11,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,4,4,9,17,2,6,10,10,6,21,3,4,10,4,18,7,6,15,5,0,10,5,5,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,3,10,15,5,14,13,9,8,7,6,8,13,3,0,15,0,5,5,10,5,5,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,3,3,8,13,4,4,12,9,10,10,7,16,13,8,2,7,12,2,5,15,0,5,5,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,2,7,2,12,2,8,3,12,13,3,8,1,10,6,1,1,5,10,0,0,5,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,5,15,15,11,10,18,6,12,9,5,4,15,15,9,6,15,10,0,0,20,10,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,4,4,21,8,5,4,10,18,8,7,12,3,7,13,2,6,5,5,5,5,5,10,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,5,9,14,12,9,9,9,4,13,19,4,14,8,7,11,6,5,10,0,5,5,5,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,3,3,12,7,4,9,3,20,9,9,5,18,5,5,3,16,11,0,10,5,10,10,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,2,7,4,8,3,17,2,2,6,11,7,7,3,1,12,1,6,0,5,0,10,5,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,3,10,14,4,13,14,4,8,6,13,3,9,2,12,7,7,1,10,15,10,10,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,4,6,23,6,14,10,3,18,3,14,10,3,17,12,7,2,6,6,10,5,5,15,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,3,9,8,8,7,10,10,9,3,23,9,2,13,8,9,7,11,10,5,10,10,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,4,9,18,3,9,3,14,16,10,12,8,23,2,17,2,0,15,5,5,10,5,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,2,7,7,3,7,2,11,8,3,9,8,7,7,6,11,0,5,10,5,0,5,0,0,0,0,0,0,0,0,0
