Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,4,21,17,6,12,19,13,26,18,3,27,6,10,16,14,15,0,22,21,7,7,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,3,4,11,18,10,10,4,11,11,17,9,10,9,8,15,8,14,0,7,0,21,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,12,18,13,6,18,18,18,12,5,24,11,13,20,9,7,30,13,0,15,21,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,3,3,15,8,2,10,2,9,10,3,12,6,15,0,0,0,14,0,14,7,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4,4,18,18,5,4,18,10,26,12,11,11,8,17,10,3,0,20,0,0,15,22,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,4,11,17,18,5,12,21,19,13,25,11,9,18,18,4,9,20,7,6,26,14,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,4,5,12,24,7,2,4,4,11,10,16,15,0,5,8,0,22,0,14,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,13,13,6,33,13,21,6,33,18,18,17,11,18,13,4,17,17,7,7,6,22,20,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,3,8,9,8,1,1,9,2,1,8,8,1,1,1,6,7,7,0,16,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,10,5,18,11,24,9,3,16,10,4,19,11,2,22,9,1,6,7,20,8,0,8,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,9,5,10,19,17,4,13,14,12,25,18,19,4,17,16,9,8,14,7,22,14,7,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,3,3,8,14,2,3,10,3,16,1,14,0,0,7,14,0,0,6,7,7,0,0,0,0,0,0,0,0
