Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5
14,96.64,181.77,128.85,90.21,0.0,0.0,100.75,202.77,115.75,74.11,0.0,0.0,87.15,155.96,160.29,94.32,0.0,0.0,91.35,161.3,157.42,84.45,0.0,0.0,77.76,132.21,164.7,96.71,0.0,0.0,104.0,399.76,72.83,0.0,178.49,331.42,0.0,0.0,104.57,386.87,101.1,0.0,0.0,0.0,0.0,0.0,0.0
15,109.16,216.11,108.08,177.49,0.0,0.0,107.0,524.92,0.0,0.0,0.0,0.0,119.15,167.6,122.53,85.52,0.0,0.0,114.77,174.09,116.32,92.97,0.0,0.0,70.89,127.43,166.51,100.57,0.0,0.0,212.33,292.16,0.0,0.0,145.07,345.73,121.53,0.0,79.07,274.91,177.98,0.0,0.0,0.0,0.0,0.0,0.0
16,80.83,140.84,338.72,0.0,0.0,0.0,83.83,152.21,216.93,104.25,0.0,0.0,91.09,160.49,134.13,112.31,71.56,0.0,93.94,173.01,128.01,104.69,133.12,0.0,4.0,124.93,373.35,118.82,0.0,0.0,233.63,93.33,89.67,0.0,221.29,150.93,0.0,0.0,213.82,307.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,66.85,125.54,89.71,0.0,0.0,0.0,123.62,93.84,88.51,0.0,0.0,0.0,117.27,100.99,84.06,0.0,0.0,0.0,111.8,109.62,84.04,0.0,0.0,0.0,110.53,144.03,117.26,0.0,0.0,0.0,185.17,239.9,0.0,0.0,190.8,149.34,0.0,0.0,202.26,90.2,86.1,0.0,0.0,0.0,0.0,0.0,0.0
18,100.25,183.62,0.0,0.0,0.0,0.0,101.92,218.31,0.0,0.0,0.0,0.0,90.89,160.26,20.0,0.0,0.0,0.0,93.93,166.32,118.82,0.0,0.0,0.0,105.02,271.66,0.0,0.0,0.0,0.0,106.3,371.33,0.0,0.0,100.57,379.92,0.0,0.0,170.87,299.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,111.37,151.3,83.34,0.0,0.0,0.0,108.73,219.5,0.0,0.0,0.0,0.0,123.54,107.34,97.72,0.0,0.0,0.0,116.86,108.22,97.89,0.0,0.0,0.0,108.75,154.1,83.02,0.0,0.0,0.0,121.37,373.92,69.33,0.0,156.3,337.93,84.2,0.0,84.33,413.74,0.0,0.0,192.75,180.58,0.0,0.0,0.0
20,81.61,142.25,103.89,0.0,0.0,0.0,89.87,156.65,95.9,0.0,0.0,0.0,92.16,162.06,86.72,0.0,0.0,0.0,96.72,182.85,107.18,0.0,0.0,0.0,101.69,215.48,0.0,0.0,0.0,0.0,259.98,240.84,0.0,0.0,230.9,293.39,0.0,0.0,218.48,330.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,106.96,185.09,129.06,102.39,85.46,0.0,103.23,174.36,137.53,114.47,0.0,0.0,100.78,159.19,155.78,102.45,92.58,0.0,97.41,146.55,208.44,98.47,0.0,0.0,116.54,256.9,125.48,93.91,0.0,0.0,313.3,180.35,0.0,0.0,118.37,350.83,120.97,0.0,125.53,236.29,163.03,0.0,177.39,0.0,0.0,0.0,0.0
22,70.0,124.2,144.18,104.56,0.0,0.0,72.82,124.61,123.63,87.46,0.0,0.0,119.15,214.73,78.46,0.0,0.0,0.0,57.51,121.01,149.48,83.85,0.0,0.0,115.89,251.93,0.0,0.0,0.0,0.0,214.9,101.67,0.0,0.0,136.43,321.38,0.0,0.0,134.87,324.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,96.92,146.51,99.58,0.0,0.0,0.0,91.85,144.33,104.44,0.0,0.0,0.0,102.84,172.35,88.09,0.0,0.0,0.0,88.1,143.22,105.35,107.74,0.0,0.0,112.63,208.64,86.75,0.0,0.0,0.0,219.79,87.53,0.0,0.0,255.31,0.0,0.0,0.0,175.83,173.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,116.75,277.01,0.0,0.0,0.0,0.0,118.41,275.67,0.0,0.0,0.0,0.0,54.0,120.52,140.3,115.79,0.0,0.0,67.81,123.69,113.39,79.25,0.0,0.0,108.09,194.26,87.48,0.0,0.0,0.0,169.19,211.53,161.62,0.0,164.07,244.35,158.61,0.0,157.5,276.34,143.3,0.0,0.0,0.0,0.0,0.0,0.0
25,110.38,203.18,76.53,0.0,0.0,0.0,104.2,177.73,89.07,0.0,0.0,0.0,102.84,167.66,95.38,0.0,0.0,0.0,98.56,149.8,97.73,0.0,0.0,0.0,96.72,146.26,103.69,0.0,0.0,0.0,99.4,530.95,0.0,0.0,119.63,353.19,103.5,0.0,133.67,350.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,70.43,124.46,94.33,71.35,0.0,0.0,74.77,128.89,89.11,74.62,0.0,0.0,32.0,119.65,203.52,0.0,0.0,0.0,63.7,123.45,105.13,108.88,0.0,0.0,85.34,142.06,82.86,0.0,0.0,0.0,236.21,321.25,0.0,0.0,204.54,329.58,75.7,0.0,278.46,178.23,92.57,56.33,0.0,0.0,0.0,0.0,0.0
27,98.39,146.99,84.31,0.0,0.0,0.0,96.59,145.47,86.55,0.0,0.0,0.0,104.18,176.43,79.24,0.0,0.0,0.0,101.95,161.15,83.93,0.0,0.0,0.0,85.17,138.85,89.07,186.43,0.0,0.0,247.95,146.03,90.77,0.0,259.34,120.0,106.1,0.0,192.34,228.15,0.0,0.0,612.53,0.0,0.0,0.0,0.0
28,118.25,341.16,0.0,0.0,0.0,0.0,22.0,119.48,207.35,0.0,0.0,0.0,62.0,122.26,137.63,0.0,0.0,0.0,70.38,124.26,127.22,0.0,0.0,0.0,73.45,125.08,109.03,188.2,0.0,0.0,171.93,233.57,65.9,0.0,168.47,337.93,0.0,0.0,158.28,398.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,86.15,142.14,127.24,66.25,0.0,0.0,83.88,135.78,127.62,75.96,0.0,0.0,82.84,135.01,153.32,0.0,0.0,0.0,81.12,132.37,155.0,138.14,0.0,0.0,101.12,160.51,91.32,70.27,0.0,0.0,174.76,296.52,0.0,0.0,184.5,267.6,0.0,0.0,207.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,115.55,222.85,78.77,0.0,0.0,0.0,115.71,251.07,0.0,0.0,0.0,0.0,106.29,181.55,85.77,0.0,0.0,0.0,115.1,221.71,82.8,0.0,0.0,0.0,99.02,158.58,103.88,0.0,0.0,0.0,150.63,359.05,0.0,0.0,147.43,392.15,0.0,0.0,166.53,311.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,84.78,151.5,0.0,0.0,0.0,0.0,81.32,140.45,0.0,0.0,0.0,0.0,93.46,189.84,0.0,0.0,0.0,0.0,87.26,167.33,0.0,0.0,0.0,0.0,101.0,239.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.71,0.0,0.0,0.0,634.8,0.0,0.0,0.0,0.0
32,106.82,238.11,109.3,89.8,0.0,0.0,110.25,186.95,125.32,95.15,0.0,0.0,112.23,167.99,128.56,96.22,0.0,0.0,113.43,165.68,129.97,95.95,0.0,0.0,97.97,344.27,93.59,0.0,0.0,0.0,196.39,250.45,0.0,0.0,171.81,269.93,0.0,0.0,169.34,297.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,98.77,270.31,105.76,84.84,0.0,0.0,94.48,232.12,120.66,90.06,0.0,0.0,90.8,174.06,139.08,100.8,0.0,0.0,86.64,153.86,140.69,102.02,0.0,0.0,84.37,141.95,153.77,102.67,69.54,0.0,309.98,189.13,0.0,0.0,444.37,0.0,0.0,0.0,322.85,105.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,115.36,186.85,123.34,0.0,0.0,0.0,117.35,159.39,129.15,115.77,0.0,0.0,111.67,255.89,100.17,0.0,0.0,0.0,112.49,226.68,107.32,0.0,0.0,0.0,72.33,132.21,134.22,112.2,0.0,0.0,432.93,0.0,0.0,0.0,287.68,0.0,0.0,0.0,122.23,98.53,0.0,0.0,564.23,0.0,0.0,0.0,0.0
35,85.22,152.9,132.33,94.62,0.0,0.0,82.56,140.49,133.45,100.61,0.0,0.0,93.76,205.63,123.37,0.0,0.0,0.0,90.49,172.91,131.32,75.07,0.0,0.0,72.12,126.64,135.69,119.43,0.0,0.0,314.15,0.0,0.0,0.0,196.82,87.6,0.0,0.0,262.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,108.34,185.51,0.0,0.0,0.0,0.0,111.24,132.27,0.0,0.0,0.0,0.0,112.42,128.25,87.54,0.0,0.0,0.0,114.03,117.35,88.95,0.0,0.0,0.0,117.18,94.66,91.51,0.0,0.0,0.0,230.91,81.27,0.0,0.0,184.81,135.17,0.0,0.0,170.4,281.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,72.51,133.81,138.35,99.92,110.1,0.0,71.46,126.39,147.72,87.51,126.98,0.0,123.9,153.24,121.74,74.95,0.0,0.0,118.59,157.43,122.59,79.94,0.0,0.0,90.09,170.04,135.98,85.72,0.0,0.0,236.5,296.21,0.0,0.0,260.83,170.59,104.13,0.0,333.23,139.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
