Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5
61,88.86,142.28,125.24,95.97,0.0,0.0,81.67,139.02,126.96,108.51,0.0,0.0,66.88,129.84,139.23,114.4,97.4,0.0,117.19,141.04,115.74,115.71,0.0,0.0,93.76,154.29,117.16,89.41,0.0,0.0,216.89,316.17,0.0,0.0,244.78,296.45,0.0,0.0,271.51,228.73,105.73,0.0,0.0,0.0,0.0,0.0,0.0
62,107.93,184.03,112.47,0.0,0.0,0.0,108.68,191.17,103.54,0.0,0.0,0.0,99.14,162.36,123.08,80.0,0.0,0.0,102.85,175.52,115.31,0.0,0.0,0.0,92.15,153.69,127.29,93.23,0.0,0.0,182.24,188.17,0.0,0.0,173.14,203.16,0.0,0.0,75.4,354.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,116.68,156.81,119.9,167.46,0.0,0.0,114.78,166.18,112.69,0.0,0.0,0.0,79.53,138.21,135.62,99.48,0.0,0.0,66.37,128.4,136.04,101.12,0.0,0.0,90.93,147.62,129.5,99.44,0.0,0.0,182.95,121.2,0.0,0.0,189.69,79.77,0.0,0.0,165.87,242.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,94.19,155.31,138.95,95.39,0.0,0.0,99.13,160.07,136.88,92.24,0.0,0.0,102.62,171.28,130.68,64.88,0.0,0.0,106.06,180.83,128.75,0.0,0.0,0.0,89.86,144.27,163.18,86.88,0.0,0.0,156.7,279.98,0.0,0.0,72.93,302.49,0.0,0.0,319.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,90.05,147.24,156.44,93.56,0.0,0.0,87.22,140.96,176.32,82.18,0.0,0.0,78.38,137.1,178.48,92.97,0.0,0.0,115.28,217.01,104.1,85.87,0.0,0.0,116.36,210.0,109.45,115.86,0.0,0.0,218.23,215.83,0.0,0.0,256.12,174.93,0.0,0.0,297.22,104.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,108.4,190.64,132.4,0.0,0.0,0.0,109.74,196.67,109.23,94.97,0.0,0.0,100.03,165.0,156.53,81.38,0.0,0.0,105.66,177.24,137.22,76.87,0.0,0.0,113.43,238.72,102.25,0.0,0.0,0.0,186.3,0.0,0.0,0.0,173.27,314.83,0.0,0.0,205.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,118.01,154.18,112.09,0.0,0.0,0.0,115.72,156.99,101.74,0.0,0.0,0.0,86.02,139.08,143.85,0.0,0.0,0.0,73.02,132.61,152.1,0.0,0.0,0.0,112.69,236.48,86.4,0.0,0.0,0.0,187.12,83.07,55.77,0.0,190.5,63.5,59.73,0.0,151.4,158.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,96.77,158.99,137.65,0.0,0.0,0.0,99.52,163.47,115.15,107.2,0.0,0.0,104.59,177.13,100.58,0.0,0.0,0.0,108.22,185.22,91.95,0.0,0.0,0.0,109.13,196.48,89.02,0.0,0.0,0.0,157.3,141.37,0.0,0.0,110.13,205.64,0.0,0.0,275.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,114.53,466.72,0.0,0.0,0.0,0.0,112.27,229.75,158.26,109.0,0.0,0.0,111.14,228.35,167.68,108.64,0.0,0.0,110.07,217.91,169.14,112.23,0.0,0.0,68.0,132.61,232.85,115.12,71.04,0.0,158.66,262.83,0.0,0.0,172.8,181.22,67.7,0.0,180.56,119.97,88.53,0.0,106.28,96.15,119.37,0.0,0.0
70,91.13,148.7,183.76,117.99,87.86,0.0,91.58,151.91,182.08,117.51,81.72,0.0,88.01,141.85,185.77,133.27,70.0,0.0,126.92,247.09,152.54,106.91,0.0,0.0,125.68,469.5,0.0,0.0,0.0,0.0,326.86,76.13,0.0,0.0,307.84,83.6,0.0,0.0,167.53,214.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,101.43,168.22,154.72,48.0,0.0,0.0,99.01,163.03,156.21,99.49,0.0,0.0,106.65,202.46,109.92,84.78,0.0,0.0,103.11,180.23,144.36,125.99,0.0,0.0,76.58,122.92,162.72,106.63,124.81,0.0,142.83,75.93,62.6,0.0,103.1,94.1,74.53,0.0,282.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,32.0,121.0,275.24,88.62,0.0,0.0,75.52,121.56,191.4,131.06,0.0,0.0,81.16,123.76,189.6,109.54,0.0,0.0,82.32,126.64,189.33,95.94,0.0,0.0,110.07,266.92,145.38,0.0,0.0,0.0,229.98,184.98,0.0,0.0,207.38,193.55,127.1,0.0,194.27,271.71,0.0,0.0,634.8,0.0,0.0,0.0,0.0
73,110.32,379.84,0.0,0.0,0.0,0.0,107.31,212.72,150.48,0.0,0.0,0.0,106.05,188.88,159.09,0.0,0.0,0.0,102.24,174.96,161.36,82.67,0.0,0.0,101.34,167.0,170.54,72.4,0.0,0.0,151.57,416.47,0.0,0.0,157.99,366.35,0.0,0.0,158.3,273.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,83.26,127.48,148.61,110.74,0.0,0.0,87.97,128.91,142.92,103.06,0.0,0.0,81.14,123.43,190.21,82.73,0.0,0.0,81.97,124.97,162.11,83.24,109.09,0.0,92.81,139.49,133.03,92.87,0.0,0.0,314.04,171.12,0.0,0.0,393.5,0.0,0.0,0.0,142.13,182.65,152.7,0.0,0.0,0.0,0.0,0.0,0.0
75,102.2,174.39,129.87,77.0,0.0,0.0,99.03,164.33,132.14,77.65,0.0,0.0,107.15,208.09,114.19,60.0,0.0,0.0,105.34,186.36,127.92,69.46,0.0,0.0,92.16,138.33,133.31,102.71,0.0,0.0,273.63,175.0,0.0,0.0,103.17,260.64,100.37,0.0,332.68,105.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,52.0,121.53,206.95,84.25,0.0,0.0,79.0,122.96,189.66,107.11,0.0,0.0,81.56,124.81,153.54,96.71,0.0,0.0,82.82,126.81,129.36,108.81,0.0,0.0,86.53,128.76,114.63,110.78,0.0,0.0,236.93,0.0,0.0,0.0,222.79,230.39,0.0,0.0,201.76,277.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,94.74,140.49,122.04,95.81,0.0,0.0,91.83,138.32,129.63,94.63,0.0,0.0,91.11,133.81,150.53,93.98,0.0,0.0,89.98,132.49,169.58,54.0,111.33,0.0,104.65,181.59,112.38,151.95,0.0,0.0,240.71,164.09,0.0,0.0,330.05,123.6,0.0,0.0,363.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,114.53,190.83,99.96,83.58,0.0,0.0,115.83,182.62,111.74,0.0,0.0,0.0,110.0,255.95,94.11,0.0,0.0,0.0,111.97,334.53,0.0,0.0,0.0,0.0,106.92,202.99,96.24,0.0,0.0,0.0,174.06,219.82,0.0,0.0,173.3,291.8,0.0,0.0,210.06,177.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,88.41,130.2,164.97,0.0,0.0,0.0,86.34,128.0,168.71,0.0,0.0,0.0,91.12,137.64,140.81,0.0,0.0,0.0,90.28,133.16,142.8,59.62,0.0,0.0,97.9,149.14,109.21,80.3,0.0,0.0,186.43,251.31,78.97,0.0,202.1,107.23,100.33,80.2,171.45,337.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,106.32,195.82,100.49,0.0,0.0,0.0,107.53,238.42,94.32,0.0,0.0,0.0,110.63,183.46,101.66,0.0,0.0,0.0,113.03,170.01,108.33,0.0,0.0,0.0,96.25,147.26,128.5,0.0,0.0,0.0,171.36,367.85,0.0,0.0,171.09,368.09,0.0,0.0,160.5,438.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,101.8,144.11,102.14,76.03,0.0,0.0,97.38,141.46,105.67,83.52,0.0,0.0,92.06,139.84,106.94,89.31,0.0,0.0,86.5,137.18,121.96,77.82,0.0,0.0,85.08,133.24,132.98,0.0,0.0,0.0,318.71,241.28,0.0,0.0,380.37,178.85,0.0,0.0,417.94,176.7,0.0,0.0,634.8,0.0,0.0,0.0,0.0
82,113.95,199.49,116.32,79.83,0.0,0.0,116.96,217.13,114.42,0.0,0.0,0.0,110.16,186.06,138.73,77.96,0.0,0.0,111.3,196.03,138.32,0.0,0.0,0.0,78.55,129.18,260.76,0.0,0.0,0.0,359.46,0.0,0.0,0.0,371.1,0.0,0.0,0.0,165.06,148.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,86.34,136.89,160.13,104.32,0.0,0.0,84.42,132.23,160.51,114.25,0.0,0.0,95.78,141.08,155.49,85.08,0.0,0.0,91.41,138.83,157.16,103.73,0.0,0.0,78.0,124.97,381.74,0.0,0.0,0.0,294.29,0.0,0.0,0.0,288.67,0.0,0.0,0.0,233.12,102.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,109.28,182.72,159.48,103.73,0.0,0.0,109.74,183.21,154.61,106.44,0.0,0.0,110.69,190.65,154.46,101.61,0.0,0.0,112.73,198.09,147.27,98.71,0.0,0.0,117.4,249.57,145.37,91.82,0.0,0.0,208.73,307.49,0.0,0.0,188.32,319.04,0.0,0.0,171.21,398.74,0.0,0.0,276.22,192.75,0.0,0.0,0.0
85,79.72,130.48,165.82,131.6,94.55,0.0,77.26,124.68,191.12,128.94,90.58,0.0,73.06,120.11,255.33,106.14,0.0,0.0,67.99,117.98,278.3,97.51,0.0,0.0,91.04,138.0,164.3,117.68,93.06,0.0,209.99,293.1,31.93,0.0,223.88,282.24,0.0,0.0,510.14,0.0,0.0,0.0,184.77,0.0,0.0,0.0,0.0
86,105.79,158.11,151.74,107.21,98.75,0.0,108.16,166.0,149.72,105.18,95.68,0.0,99.07,142.85,252.09,104.83,0.0,0.0,102.7,151.02,160.23,114.09,97.52,0.0,87.41,137.49,302.99,97.93,0.0,0.0,164.0,0.0,0.0,0.0,155.17,205.71,0.0,0.0,178.34,0.0,0.0,0.0,85.08,82.95,77.27,72.0,68.52
87,48.0,117.49,272.15,0.0,0.0,0.0,116.88,208.53,131.88,0.0,0.0,0.0,74.96,124.0,228.07,0.0,0.0,0.0,72.58,118.85,364.75,0.0,0.0,0.0,81.66,132.16,150.96,115.22,0.0,0.0,164.28,0.0,0.0,0.0,172.07,0.0,0.0,0.0,149.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,92.26,140.6,142.43,113.32,0.0,0.0,97.85,142.43,142.43,98.61,0.0,0.0,102.34,145.26,141.08,94.9,0.0,0.0,105.24,155.15,140.34,71.7,0.0,0.0,80.42,131.89,167.49,105.13,0.0,0.0,139.17,0.0,0.0,0.0,131.5,0.0,0.0,0.0,69.83,214.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,80.76,132.08,149.89,0.0,0.0,0.0,114.84,201.05,62.0,0.0,0.0,0.0,73.34,120.66,171.7,0.0,0.0,0.0,72.22,118.21,311.29,0.0,0.0,0.0,117.41,252.61,0.0,0.0,0.0,0.0,210.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,105.83,163.26,99.04,142.03,0.0,0.0,108.46,177.26,91.55,133.97,0.0,0.0,100.93,143.32,132.59,140.96,0.0,0.0,103.72,153.24,128.22,0.0,0.0,0.0,110.28,186.16,81.53,0.0,0.0,0.0,168.9,0.0,0.0,0.0,157.55,0.0,0.0,0.0,198.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,46.0,109.67,167.81,131.78,8.0,127.39,109.02,166.21,149.81,87.15,0.0,0.0,81.28,113.67,177.13,121.81,0.0,0.0,74.68,110.8,172.59,125.02,0.0,0.0,105.98,151.99,157.63,121.39,0.0,0.0,191.54,329.26,0.0,0.0,192.25,211.02,106.07,0.0,186.4,382.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,95.51,128.09,327.38,0.0,0.0,0.0,69.68,110.39,167.94,87.84,0.0,0.0,98.21,130.78,185.73,74.0,0.0,0.0,98.22,132.53,140.88,140.3,0.0,0.0,100.12,134.44,118.55,80.68,0.0,0.0,180.6,196.5,0.0,0.0,166.06,250.24,0.0,0.0,154.72,438.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,106.61,158.02,105.3,0.0,0.0,0.0,105.64,151.61,110.27,0.0,0.0,0.0,103.26,144.39,112.35,0.0,0.0,0.0,100.95,136.49,113.91,87.45,0.0,0.0,74.11,110.6,171.9,0.0,0.0,0.0,181.42,0.03,0.0,0.0,183.86,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,92.75,122.95,237.91,90.0,0.0,0.0,93.67,123.98,320.68,0.0,0.0,0.0,84.99,114.09,180.73,118.16,0.0,0.0,87.27,118.35,199.56,112.9,0.0,0.0,70.0,110.51,167.96,119.83,0.0,0.0,372.14,0.0,0.0,0.0,203.54,134.27,0.0,0.0,161.4,193.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,100.46,135.39,186.08,98.56,0.0,0.0,98.78,133.23,192.25,97.33,0.0,0.0,104.79,150.19,150.37,104.81,101.51,0.0,103.22,144.23,161.93,101.93,0.0,0.0,108.35,165.87,129.26,116.75,0.0,0.0,128.52,308.49,0.0,0.0,158.2,279.06,0.0,0.0,310.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,78.49,112.02,175.59,147.14,0.0,0.0,84.52,113.76,178.27,144.99,0.0,0.0,86.0,118.28,185.59,90.0,0.0,0.0,91.53,122.39,214.97,0.0,0.0,0.0,108.18,162.84,234.83,0.0,0.0,0.0,267.73,150.33,71.47,0.0,236.15,308.76,0.0,0.0,211.89,311.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,108.21,163.15,116.58,88.06,0.0,0.0,106.5,155.2,124.15,97.85,0.0,0.0,104.76,148.73,124.24,112.7,0.0,0.0,101.8,137.69,138.4,109.16,0.0,0.0,100.27,134.93,146.86,104.32,0.0,0.0,182.69,311.38,0.0,0.0,186.44,282.06,0.0,0.0,190.53,258.16,90.57,0.0,0.0,0.0,0.0,0.0,0.0
98,93.59,123.74,292.67,0.0,0.0,0.0,95.33,125.47,165.06,93.21,0.0,0.0,85.92,118.07,184.44,0.0,0.0,0.0,91.25,120.11,206.22,0.0,0.0,0.0,96.7,129.41,164.05,0.0,0.0,0.0,144.03,317.55,78.13,0.0,322.79,228.05,0.0,0.0,175.31,314.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,101.13,137.49,177.33,102.0,0.0,0.0,103.8,145.03,176.09,100.0,0.0,0.0,106.35,152.5,144.76,113.05,0.0,0.0,104.59,147.54,158.08,107.82,0.0,0.0,96.59,128.5,210.21,97.27,0.0,0.0,148.6,312.19,0.0,0.0,199.59,273.06,0.0,0.0,326.34,165.68,0.0,0.0,143.52,0.0,0.0,0.0,0.0
100,80.82,112.36,177.05,133.53,81.35,0.0,85.89,114.43,182.41,133.12,66.0,0.0,91.21,119.38,200.2,106.81,0.0,0.0,93.1,123.28,243.2,91.15,0.0,0.0,94.34,124.61,259.58,87.76,0.0,0.0,269.37,191.1,44.47,0.0,243.16,259.34,0.0,0.0,212.65,268.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,97.86,224.63,0.0,0.0,0.0,0.0,96.71,202.44,0.0,0.0,0.0,0.0,93.59,166.63,111.37,0.0,0.0,0.0,91.58,152.64,139.7,0.0,0.0,0.0,109.14,145.95,125.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,119.73,176.89,103.24,0.0,0.0,0.0,56.0,124.49,151.04,80.51,0.0,0.0,113.14,223.02,76.0,0.0,0.0,0.0,115.91,185.6,102.6,0.0,0.0,0.0,107.02,246.56,0.0,0.0,0.0,0.0,359.95,0.0,0.0,0.0,195.1,107.2,0.0,0.0,395.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,91.48,148.85,121.56,103.8,0.0,0.0,84.0,139.29,146.94,0.0,0.0,0.0,95.55,200.46,111.22,0.0,0.0,0.0,93.13,166.26,112.33,0.0,0.0,0.0,104.36,241.48,65.87,0.0,0.0,0.0,209.91,24.3,0.0,0.0,310.42,0.0,0.0,0.0,173.56,297.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,110.23,217.01,94.51,0.0,0.0,0.0,112.29,167.89,110.96,0.0,0.0,0.0,115.76,160.06,116.75,0.0,0.0,0.0,116.95,136.54,120.62,101.72,0.0,0.0,99.24,225.95,104.23,0.0,0.0,0.0,157.24,95.17,24.93,21.53,151.95,249.95,0.0,0.0,134.9,262.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,102.9,237.95,0.0,0.0,0.0,0.0,97.0,211.16,104.91,0.0,0.0,0.0,95.2,192.88,105.23,0.0,0.0,0.0,92.16,159.83,127.62,0.0,0.0,0.0,87.5,144.34,134.19,0.0,0.0,0.0,340.29,0.0,0.0,0.0,287.76,12.3,0.0,0.0,108.5,285.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,54.0,121.84,132.0,72.0,0.0,0.0,65.67,131.24,108.31,110.48,0.0,0.0,115.34,180.3,54.0,0.0,0.0,0.0,116.15,146.57,91.86,0.0,0.0,0.0,81.87,138.27,99.0,0.0,0.0,0.0,230.86,0.0,0.0,0.0,185.99,169.2,0.0,0.0,286.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,91.89,159.7,118.55,86.12,0.0,0.0,84.87,141.63,127.28,95.81,0.0,0.0,96.78,207.39,102.28,154.55,0.0,0.0,94.21,181.49,118.0,78.76,0.0,0.0,81.51,135.03,134.91,96.16,0.0,0.0,280.9,124.43,104.03,0.0,187.37,257.22,99.47,0.0,181.84,326.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,111.83,176.83,102.45,84.53,0.0,0.0,115.01,172.95,109.9,0.0,0.0,0.0,116.03,171.95,109.63,100.11,0.0,0.0,121.53,163.11,110.13,42.0,0.0,0.0,60.0,129.11,138.66,97.7,0.0,0.0,159.57,327.58,0.0,0.0,154.63,404.48,0.0,0.0,150.32,468.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,81.98,138.73,191.53,127.7,0.0,0.0,80.57,133.8,203.56,112.65,0.0,0.0,70.0,133.02,244.41,108.72,0.0,0.0,68.72,132.33,301.71,0.0,0.0,0.0,93.94,180.96,190.25,92.56,0.0,0.0,167.51,285.42,0.0,0.0,181.44,136.57,73.97,0.0,191.83,126.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,106.38,310.99,125.28,0.0,0.0,0.0,106.67,355.05,100.22,0.0,0.0,0.0,97.56,218.64,144.3,108.3,0.0,0.0,105.6,256.1,131.62,82.34,0.0,0.0,105.83,267.06,129.05,73.29,0.0,0.0,132.0,340.71,0.0,0.0,123.0,388.19,0.0,0.0,152.13,303.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,65.78,121.99,299.14,57.18,0.0,0.0,44.0,121.57,272.32,92.03,0.0,0.0,83.04,130.97,155.48,144.11,0.0,0.0,72.56,126.38,318.05,0.0,0.0,0.0,90.18,139.13,144.98,120.22,0.0,0.0,245.58,275.19,0.0,0.0,289.95,122.2,72.0,45.6,214.51,320.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,93.52,142.28,106.65,88.38,0.0,0.0,96.53,149.98,98.54,83.93,0.0,0.0,100.03,158.47,95.07,83.12,0.0,0.0,106.21,169.77,90.82,0.0,0.0,0.0,86.78,137.51,135.94,0.0,0.0,0.0,196.36,92.53,0.0,0.0,183.33,100.9,21.23,0.0,170.73,138.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,88.68,137.91,110.66,89.86,0.0,0.0,84.57,132.45,140.49,0.0,0.0,0.0,77.18,129.98,381.39,0.0,0.0,0.0,66.9,124.98,306.44,0.0,0.0,0.0,63.87,121.8,292.3,0.0,0.0,0.0,305.83,0.0,0.0,0.0,287.26,0.0,0.0,0.0,273.92,90.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,107.72,174.01,171.07,117.06,0.0,0.0,108.45,181.88,149.65,137.65,0.0,0.0,99.29,155.42,254.47,42.0,76.76,0.0,105.47,169.15,210.72,106.45,0.0,0.0,118.47,225.93,144.0,103.22,0.0,0.0,253.06,277.29,0.0,0.0,226.03,277.51,0.0,0.0,357.54,221.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,66.43,124.55,299.69,95.19,0.0,0.0,52.0,121.62,277.0,127.76,0.0,0.0,83.86,131.83,260.24,108.31,0.0,0.0,76.86,127.69,369.29,0.0,0.0,0.0,117.79,223.93,145.75,106.26,0.0,0.0,286.13,274.7,0.0,0.0,333.81,241.93,0.0,0.0,216.61,314.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,94.46,144.55,180.43,71.77,0.0,0.0,96.61,153.42,145.82,94.51,0.0,0.0,104.74,165.96,144.25,83.51,0.0,0.0,106.53,170.37,139.59,70.6,0.0,0.0,108.33,181.21,134.48,0.0,0.0,0.0,203.93,288.29,141.13,0.0,194.32,327.76,0.0,0.0,174.11,336.54,36.77,0.0,216.89,0.0,0.0,0.0,0.0
117,118.62,226.78,123.6,78.64,0.0,0.0,116.72,220.93,137.74,75.16,0.0,0.0,110.71,197.71,141.66,103.55,0.0,0.0,109.82,188.34,145.94,105.14,0.0,0.0,75.16,126.6,358.66,0.0,0.0,0.0,207.06,233.21,0.0,0.0,216.39,179.41,0.0,0.0,239.35,170.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,92.68,140.95,218.44,88.1,87.29,0.0,93.13,142.21,214.57,103.87,0.0,0.0,84.95,137.13,348.7,0.0,0.0,0.0,94.56,146.61,202.14,117.94,0.0,0.0,100.1,164.0,152.54,122.57,62.39,0.0,125.63,378.84,0.0,0.0,406.53,0.0,0.0,0.0,185.82,283.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,109.61,188.22,174.31,97.94,0.0,0.0,108.05,176.87,180.51,100.68,0.0,0.0,111.34,205.06,152.56,99.61,0.0,0.0,110.12,196.5,157.51,104.91,0.0,0.0,121.39,248.49,149.85,96.2,0.0,0.0,146.17,136.63,103.17,0.0,177.03,123.9,85.07,0.0,315.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,80.89,130.53,216.96,105.87,84.12,0.0,84.63,135.14,206.36,108.3,77.18,0.0,88.84,138.53,186.8,135.33,0.0,0.0,92.2,140.84,181.56,126.49,76.79,0.0,120.03,228.89,150.45,96.83,0.0,0.0,343.72,0.0,0.0,0.0,341.71,0.0,0.0,0.0,357.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,140.44,139.04,96.45,136.22,87.56,0.0,143.02,138.78,91.59,137.11,109.34,0.0,144.57,137.65,90.14,150.4,79.05,0.0,151.45,130.9,89.2,183.77,66.65,0.0,158.45,126.19,82.88,192.96,0.0,0.0,303.38,169.14,0.0,0.0,365.27,14.97,0.0,0.0,181.36,248.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,196.95,115.08,175.62,97.76,0.0,0.0,181.35,121.34,192.04,86.5,0.0,0.0,241.08,99.92,155.09,82.05,0.0,0.0,218.43,103.96,157.72,102.14,0.0,0.0,171.6,123.04,75.53,131.16,81.61,0.0,162.95,268.55,0.0,0.0,197.8,175.56,0.0,0.0,209.54,131.6,0.0,0.0,163.21,0.0,0.0,0.0,0.0
123,153.51,128.67,90.26,110.4,102.08,0.0,159.89,124.63,84.02,141.85,72.15,0.0,144.27,137.83,90.4,104.52,104.47,0.0,146.17,137.09,87.25,121.28,90.78,0.0,176.36,122.69,72.51,111.58,97.77,0.0,227.48,103.73,0.0,0.0,171.98,256.31,0.0,0.0,333.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,352.83,147.93,109.54,0.0,0.0,0.0,253.33,99.29,148.06,111.02,0.0,0.0,228.65,103.19,161.41,124.04,0.0,0.0,201.21,106.79,169.95,124.84,0.0,0.0,196.63,117.52,163.28,125.15,0.0,0.0,370.33,0.0,0.0,0.0,204.1,108.13,0.0,0.0,228.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,170.61,123.7,81.54,125.45,93.85,0.0,177.27,121.84,72.0,128.63,114.93,0.0,179.24,121.78,68.0,144.6,78.5,0.0,181.28,121.54,214.29,0.0,0.0,0.0,147.96,132.52,95.13,128.23,90.08,0.0,217.96,36.77,0.0,0.0,154.37,110.57,0.0,0.0,231.63,0.0,0.0,0.0,201.67,0.0,0.0,0.0,0.0
