Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 1 Proc 7,Cath Room 1 Proc 8,Cath Room 1 Proc 9,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 2 Proc 7,Cath Room 2 Proc 8,Cath Room 2 Proc 9,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 3 Proc 7,Cath Room 3 Proc 8,Cath Room 3 Proc 9,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 4 Proc 7,Cath Room 4 Proc 8,Cath Room 4 Proc 9,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,Cath Room 5 Proc 7,Cath Room 5 Proc 8,Cath Room 5 Proc 9,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6
11,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,74.43,83.38,87.84,92.16,93.93,101.92,0.0,0.0,0.0,102.18,108.75,111.37,116.86,127.43,0.0,0.0,0.0,0.0,143.94,145.05,150.48,152.21,0.0,0.0,0.0,0.0,0.0,157.95,160.26,218.9,0.0,0.0,0.0,0.0,0.0,0.0,242.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.6,335.17,0.0,0.0,0.0,0.0,0.0,569.84,0.0,0.0,0.0,0.0,0.0,0.0,115.17,156.3,174.72,178.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4.0,78.25,80.83,90.89,91.09,91.35,93.94,97.27,0.0,103.48,104.23,111.18,122.45,123.27,0.0,0.0,0.0,0.0,127.32,128.63,136.7,148.56,0.0,0.0,0.0,0.0,0.0,153.69,155.96,162.86,0.0,0.0,0.0,0.0,0.0,0.0,358.05,185.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.97,213.82,75.33,75.33,0.0,0.0,0.0,376.0,75.33,85.77,0.0,0.0,0.0,0.0,376.0,180.47,0.0,0.0,0.0,0.0,0.0,376.0,185.67,216.98,0.0,0.0,0.0
14,73.63,74.11,84.45,94.32,96.72,100.57,104.2,0.0,0.0,105.02,108.06,111.8,120.22,123.68,0.0,0.0,0.0,0.0,128.85,132.13,142.25,160.49,0.0,0.0,0.0,0.0,0.0,166.51,174.09,183.62,0.0,0.0,0.0,0.0,0.0,0.0,202.77,216.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.9,259.98,0.0,0.0,0.0,0.0,0.0,331.42,167.6,0.0,0.0,0.0,0.0,0.0,399.76,170.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,85.52,90.21,92.97,96.64,96.71,103.28,0.0,0.0,0.0,108.08,108.73,115.75,116.32,122.53,0.0,0.0,0.0,0.0,157.42,160.29,173.01,0.0,0.0,0.0,0.0,0.0,0.0,215.48,271.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1,164.7,177.49,0.0,0.0,0.0,0.0,0.0,0.0,177.98,177.98,177.98,72.83,0.0,0.0,0.0,274.91,292.16,0.0,0.0,0.0,0.0,0.0,345.73,101.1,121.53,0.0,0.0,0.0,0.0,386.87,386.87,386.87,0.0,0.0,0.0
16,66.85,71.56,79.26,87.15,100.75,104.25,104.69,0.0,0.0,110.53,112.31,128.01,134.13,118.82,0.0,0.0,0.0,0.0,156.65,161.3,181.77,133.12,0.0,0.0,0.0,0.0,0.0,216.93,234.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.72,218.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.07,190.8,190.8,89.67,0.0,0.0,0.0,190.8,200.99,93.33,0.0,0.0,0.0,0.0,307.79,150.93,0.0,0.0,0.0,0.0,0.0,373.35,0.0,0.0,0.0,0.0,0.0
17,20.0,70.89,81.61,89.71,107.0,109.55,109.62,0.0,0.0,119.15,129.03,132.21,140.84,0.0,0.0,0.0,0.0,0.0,144.03,182.85,117.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.57,299.07,104.57,0.0,0.0,0.0,0.0,371.33,145.07,0.0,0.0,0.0,0.0,0.0,379.92,149.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,77.76,78.12,84.04,84.06,88.51,93.84,100.25,0.0,0.0,100.99,106.77,114.77,124.93,136.11,0.0,0.0,0.0,0.0,274.62,118.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,202.26,239.9,90.2,0.0,0.0,0.0,104.0,132.43,212.33,0.0,0.0,0.0,0.0,221.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,72.03,82.28,83.34,83.83,89.87,97.72,101.69,0.0,0.0,103.89,106.45,109.16,114.93,117.27,0.0,0.0,0.0,0.0,121.66,123.54,123.62,166.32,0.0,0.0,0.0,0.0,0.0,524.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33,192.75,207.69,121.37,0.0,0.0,0.0,293.39,337.93,0.0,0.0,0.0,0.0,0.0,373.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,83.02,86.72,95.9,97.89,107.34,108.22,0.0,0.0,0.0,125.54,151.3,154.1,162.06,0.0,0.0,0.0,0.0,0.0,218.31,219.5,107.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,240.84,69.33,84.2,0.0,0.0,0.0,330.33,106.3,185.17,0.0,0.0,0.0,0.0,233.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,73.45,85.46,92.58,93.91,98.39,98.47,0.0,0.0,0.0,102.39,102.45,112.63,114.47,118.25,0.0,0.0,0.0,0.0,119.15,125.48,129.06,132.37,0.0,0.0,0.0,0.0,0.0,137.53,145.47,146.99,155.78,0.0,0.0,0.0,0.0,0.0,160.51,167.66,185.09,0.0,0.0,0.0,0.0,0.0,0.0,180.35,180.35,180.35,0.0,0.0,0.0,0.0,236.29,350.83,0.0,0.0,0.0,0.0,0.0,120.97,125.53,163.03,166.53,0.0,0.0,0.0,208.44,207.78,207.78,207.78,177.39,0.0
22,22.0,78.46,83.85,85.34,86.75,88.09,99.02,0.0,0.0,99.58,144.18,149.48,194.26,0.0,0.0,0.0,0.0,0.0,208.64,104.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.34,324.46,0.0,0.0,0.0,0.0,0.0,101.67,150.63,173.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,85.17,87.46,104.44,105.35,110.38,116.54,0.0,0.0,0.0,123.63,146.26,214.73,107.74,0.0,0.0,0.0,0.0,0.0,341.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.38,87.53,119.63,0.0,0.0,0.0,0.0,321.38,134.87,175.83,0.0,0.0,0.0,0.0,321.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,70.43,76.53,87.48,96.59,101.12,101.95,0.0,0.0,0.0,103.23,103.69,115.55,123.45,128.89,0.0,0.0,0.0,0.0,138.85,140.3,142.06,172.35,0.0,0.0,0.0,0.0,0.0,221.71,222.85,115.79,0.0,0.0,0.0,0.0,0.0,0.0,251.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.53,247.95,103.5,0.0,0.0,0.0,0.0,350.89,143.3,0.0,0.0,0.0,0.0,0.0,530.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
